"usda_symbol","duration","growth_habit","native_status","usda_group","soil_ph_min","soil_ph_max","soil_texture_adapted","precip_min_in","precip_max_in","temp_min_f","moisture_use","shade_tolerance","drought_tolerance","salinity_tolerance","caco3_tolerance","fire_tolerance","anaerobic_tolerance","nitrogen_fixation","root_depth_min_in","height_mature_ft","growth_rate","lifespan","leaf_retention","bloom_period","foliage_color","flower_color"
"CHDI3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHDO6",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"CHDOD","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHEIR3",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHEIR6","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"CHEL3","Perennial","Graminoid","I, N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"CHFAF","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHFO2","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHGL2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHGLG2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHGOG","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHHA2","Perennial","Shrub, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHHE3","Perennial","Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHHU2","Perennial","Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHIC","Perennial","Shrub, Subshrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHIN22","Perennial","Tree",,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHION2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHJA","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHLA5","Perennial","Graminoid","N","Monocot",5,7,"Coarse, Medium, Fine",24,65,-33,"Medium","Tolerant","Medium","None","Low","None","Medium","None",10,4.6,"Moderate","Moderate","No","Summer","Green","Green"
"CHLE4","Annual","Forb/herb","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHLIL","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHLOR3","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"CHMA3","Perennial","Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHME7","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHMI8","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHMU2","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHMUM2","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHNE2","Perennial","Forb/herb","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"CHNIG","Annual, Perennial","Forb/herb, Subshrub","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHNIN2","Annual, Perennial","Forb/herb, Subshrub","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHNIP2","Annual, Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHNO3","Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHNO5",,"Graminoid",,"Monocot",,,,,,,,,,,,,,,,,,,,,,
"CHNU9","Annual, Perennial","Forb/herb","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHOP","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHOT","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHPA30","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHPO6","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHPOP","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHPOP6",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"CHPU7",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CHPU8",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CHPY2","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHPY6",,,,"Fern",,,,,,,,,,,,,,,,,,,,,,
"CHRA8",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHRER","Perennial","Shrub, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHRO","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHRO4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHROH","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHROZ","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHSES2","Annual, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHSEW","Annual, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHSU21",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHTE3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHTR3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHTU","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHUMC2","Perennial","Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHUMO2","Perennial","Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHVA2","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHVI8","Perennial","Shrub","N","Dicot",7,8.5,"Coarse, Medium",7,24,-23,"Low","Intolerant","High","Medium","High","None","None","None",14,3,"Moderate","Short","No","Spring","Green","Yellow"
"CHVIL4","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHVIV4","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CHWR2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIAN2","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIAR2","Perennial","Graminoid","N","Monocot",4,8.5,"Coarse, Medium, Fine",18,60,-33,"Low","Tolerant","Low","None","Medium","Low","Medium","None",16,4.9,"Moderate","Long","No","Summer","Green","Green"
"CIAR4","Perennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIAR8",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIAUB",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIBR","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CICA10","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CICA22",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CICI70",,"Nonvascular","N","Moss",,,,,,,,,,,,,,,,,,,,,,
"CICR","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIFOF","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIGL","Perennial","Tree","N","Fern",6.5,7.5,"Fine",30,90,40,"Medium","Intermediate","Low","None","Medium","Medium","Low","None",12,8,"Slow","Short","Yes","Indeterminate","Green","Brown"
"CIHI","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIHOH","Annual, Biennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIHY","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIIN4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIINI","Perennial","Shrub, Subshrub","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CILAC","Annual","Forb/herb, Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CILAL","Annual","Forb/herb, Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CILI3","Perennial","Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CILI5","Perennial","Shrub, Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CILUC","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIMAM","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CINA","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CINE","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIOC2","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIOF",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIPAP2","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIQU4","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIQU5",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CISI3","Perennial","Shrub, Tree","I","Dicot",5,7,"Coarse, Medium, Fine",60,100,17,"Medium","Intermediate","Medium","Low","Medium","None","None","None",60,30,"Moderate","Moderate","Yes","Spring","Green","Green"
"CISP3","Perennial","Shrub, Tree","N, I","Dicot",5,8,"Coarse, Medium, Fine",,,40,,"Intermediate","Medium","Medium","Medium",,,"None",24,25,"Slow","Short","Yes","Summer","Green","White"
"CIUNT","Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CIVU","Biennial","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLAC4","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLADI2",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLADO2",,"Nonvascular","N","Liverwort",,,,,,,,,,,,,,,,,,,,,,
"CLAL12",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLAMW","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLAP2",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLAR","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLARA","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLBAL","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLBE4",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLBI2","Perennial","Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLBO60",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLBR7","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLBU2",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLCH5","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLCO20",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLCO21",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLCRC",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLCY4",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLDE4","Perennial","Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLDI11",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLEIS","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"CLEMA","Perennial","Forb/herb, Subshrub, Vine","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLEXE2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLEXG2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLFR2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLFU3",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLGE","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLGRE",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLHA","Annual","Forb/herb, Subshrub","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLHIH","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLITO","Perennial","Forb/herb, Shrub, Subshrub, Tree, Vine","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLJO2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLLA3","Perennial","Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLMA16",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLME3",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLMO9",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLOCO","Perennial","Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLPA10","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLPA6","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLPA9",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLPAP","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLPEP","Annual, Perennial","Forb/herb","N, I?","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLPH60",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLPL2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLPO4",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLPUQ","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLRA2",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLRUR","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLSA","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLSA3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLSA6",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLSC","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLSC60",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLSI2","Annual, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLSU19",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLSU9",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"CLTH5","Perennial","Shrub, Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLUN","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLVI8","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLVU","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CLXAP","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CNBE","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CNCN","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CNHO","Perennial","Shrub","N","Fern",,,,,,,,,,,,,,,,,,,,,,
"CNTE","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COAC2","Perennial","Shrub","I","Dicot",5.5,7.5,"Coarse, Medium, Fine",32,60,-38,"Medium","Intermediate","Medium","High","High","High","None","None",16,13,"Moderate","Long","No","Mid Spring","Green","White"
"COAM3","Perennial","Shrub","N","Dicot",5,7,"Medium, Fine",32,60,-33,"Medium","Intermediate","Medium","None","Medium","Medium","None","None",20,10,"Moderate","Short","No","Spring","Green","White"
"COAS","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COAS2","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COBA2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COBAS","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COBU5",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COBUV",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COCA4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COCA9","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COCAA","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COCAC7","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COCAP3","Annual, Biennial","Forb/herb","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COCR2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COCUO","Annual, Biennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CODE3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CODED","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CODO3",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"COEL3","Perennial","Shrub, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COELO2","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"COERE2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COEX2",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COFET",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COFIF","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COFL3","Annual","Forb/herb","N","Dicot",4.8,6.8,"Coarse, Medium",32,55,-18,"Medium","Intermediate","Low","None","Medium","Low","Low","None",6,1.5,"Rapid",,"No","Mid Spring","White-Gray","Yellow"
"COFR2","Perennial","Shrub, Subshrub, Tree","I, N","Monocot",5.5,7.7,"Coarse, Medium, Fine",40,200,35,"Medium","Intermediate","Medium","Medium","Medium","Medium","Low","None",18,10,"Moderate","Long","Yes","Spring","Green","White"
"COGL2","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COGL6","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COGR6","Annual, Biennial, Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COGR9","Perennial","Forb/herb, Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COGUM","Perennial","Forb/herb, Shrub, Subshrub","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"COHI4","Annual, Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COHOH2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COIN17",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"COIN18",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COIN19","Perennial","Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COLA21","Annual, Biennial","Forb/herb","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COLA5","Perennial","Forb/herb","N, I","Dicot",6,7,"Medium, Fine",30,60,-8,"Medium","Intolerant","Low","None","None","None","None","None",6,2,"Moderate","Moderate","No","Late Summer","Green","Yellow"
"COLE3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COLOG","Perennial","Forb/herb, Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COMAC","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COMIA2","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COMPT","Perennial","Shrub, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COMY","Perennial","Shrub, Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CONE7",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CONO","Perennial","Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CONU","Perennial","Tree","I, W","Monocot",4,8,"Coarse, Medium, Fine",20,80,18,"Low","Intolerant","Medium","High","Medium","None","Medium","None",60,60,"Moderate","Moderate","Yes","Indeterminate","Green","White"
"CONU4","Perennial","Tree","N","Dicot",4.9,7.3,"Medium, Fine",12,101,-25,"Medium","Tolerant","Low","None","None","Medium","Low","None",12,50,"Moderate","Long","No","Mid Spring","Green","Green"
"COOB2","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COOC3","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COOR","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COOR11","Perennial","Vine","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COPA11","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COPA35",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COPE80","Perennial","Shrub, Subshrub","N","Dicot",4,7,"Coarse, Medium",30,60,-38,"Low","Intermediate","High","Low","Low","High","None","Low",14,2,"Slow","Moderate","No","Spring","Green","White"
"CORA6","Perennial","Shrub","N","Dicot",4.8,7.4,"Medium, Fine",24,60,-47,"Medium","Tolerant","Medium","None","Low","High","Low","None",16,10,"Moderate","Moderate","No","Late Spring","Green","White"
"CORA7","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COROR","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CORU17","Perennial","Tree","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CORYL","Perennial","Shrub, Tree","I, N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COSA8",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COSE20",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COSES","Perennial","Shrub, Tree","N","Dicot",4.8,7,"Coarse, Medium, Fine",18,60,-38,"High","Intermediate","Low","Medium","Medium","Low","High","Medium",16,12,"Moderate","Long","No","Late Spring","Green","White"
"COSP9",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COSPB","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COSTS3","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"COSU","Annual","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"COTE6","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COTEC4",,"Lichenous","N","Lichen",,,,,,,,,,,,,,,,,,,,,,
"COTU","Perennial","Graminoid","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"COUMP","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COUMU","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COUV","Perennial","Shrub, Tree","N, I","Dicot",5,8,"Coarse, Medium, Fine",20,60,17,"Low","Intermediate","High","High","Medium","None","None","None",60,25,"Slow","Long","Yes","Indeterminate","Green","White"
"COVE3","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COVE5","Perennial","Forb/herb","N, I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COVI5","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COWA","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COWA4","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"COWA7",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"COWR3","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRAN11","Annual","Forb/herb","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRAT","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRBE2","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRBE4","Perennial","Shrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRBU5",,,,"Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRCA","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRCA31","Perennial","Forb/herb","N","Monocot",,,,,,,,,,,,,,,,,,,,,,
"CRCA7","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRCLF","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRCO33","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRCO4","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRCR16",,,,"Fern",,,,,,,,,,,,,,,,,,,,,,
"CRCR2","Perennial","Shrub, Tree","N","Dicot",4.5,7.2,"Coarse, Medium, Fine",24,60,-33,"Low","Intolerant","High","Medium","High","Medium","None","None",24,30,"Moderate","Long","No","Late Spring","Green","White"
"CRCR5","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRDI10","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRDI12","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CREX3","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRFL","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRFL2","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRGLF","Annual","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRGR6","Perennial","Vine","I","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRHO2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRHO4","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRHOH","Annual","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRHU2","Perennial","Forb/herb, Subshrub","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRIN3","Perennial","Shrub, Tree","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
"CRIN4","Perennial","Forb/herb","N","Dicot",,,,,,,,,,,,,,,,,,,,,,
